City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Oxford,1,US,1547265360,62,33.61,-85.83,44.06,4.7
Rikitea,80,PF,1547266673,100,-23.12,-134.97,79.36,17.25
Nakuru,0,KE,1547266721,87,-0.28,36.07,46.15,4.16
Bredasdorp,32,ZA,1547262000,76,-34.53,20.04,53.6,5.82
Ushuaia,75,AR,1547265600,48,-54.81,-68.31,46.4,11.41
Touros,40,BR,1547265600,83,-5.2,-35.46,77.0,4.7
Luderitz,24,NA,1547266723,91,-26.65,15.16,57.67,4.5
Ancud,90,CL,1547265600,100,-41.87,-73.83,53.6,2.24
Klaksvik,88,FO,1547265000,81,62.23,-6.59,44.6,29.97
Saint Anthony,90,US,1547265360,78,43.97,-111.68,30.02,3.36
Avarua,75,CK,1547265600,78,-21.21,-159.78,80.6,9.17
Jamestown,0,AU,1547266726,44,-33.21,138.6,88.0,11.77
Maracas,20,TT,1547265600,88,10.76,-61.44,75.2,4.7
Hilo,90,US,1547265180,81,19.71,-155.08,71.96,5.82
Souillac,90,FR,1547263800,100,45.6,-0.6,41.0,1.81
Mataura,0,NZ,1547265040,53,-46.19,168.86,69.91,4.05
Dikson,0,RU,1547266727,94,73.51,80.55,-21.31,17.92
Minab,0,IR,1547265600,62,27.15,57.07,55.4,4.7
Bellefontaine,1,US,1547265360,73,40.36,-83.76,27.14,5.73
Kaitangata,0,NZ,1547266728,72,-46.28,169.85,62.8,9.53
Toyota,75,JP,1547265600,52,35.15,137.3,46.4,10.29
Zhezkazgan,75,KZ,1547265600,83,47.8,67.71,-7.61,4.47
Sambava,76,MG,1547266583,100,-14.27,50.17,79.67,2.93
Vaini,0,IN,1547265600,60,15.34,74.49,69.8,2.93
Hobart,0,AU,1547263800,19,-42.88,147.33,75.2,20.8
Mar del Plata,36,AR,1547266730,42,-46.43,-67.52,65.81,20.49
Husavik,0,CA,1547266731,68,50.56,-96.99,2.18,7.85
Kapaa,75,US,1547265360,73,22.08,-159.32,75.92,8.05
Cape Town,100,ZA,1547265600,93,-33.93,18.42,51.8,4.7
Bluff,0,AU,1547266734,53,-23.58,149.07,87.77,8.63
Tasiilaq,80,GL,1547265000,73,65.61,-37.64,19.4,20.8
Chokurdakh,0,RU,1547266734,0,70.62,147.9,-39.99,2.93
Albany,20,US,1547265420,66,42.65,-73.75,12.02,8.05
Atuona,0,PF,1547265040,100,-9.8,-139.03,81.47,16.24
Ranau,75,MY,1547263800,70,5.95,116.67,89.6,6.93
Mexico,90,US,1547265180,64,44.56,-70.55,3.92,6.93
Ibra,64,OM,1547266737,81,22.69,58.55,58.43,2.93
Vostok,0,RU,1547266622,55,46.45,135.83,13.61,1.14
Bambous Virieux,40,MU,1547265600,83,-20.34,57.76,82.4,11.41
Bathsheba,20,BB,1547265600,73,13.22,-59.52,77.0,14.99
Portree,92,GB,1547266739,99,57.41,-6.19,46.6,24.85
Alta Floresta,92,BR,1547266741,100,-9.87,-56.08,70.9,2.48
Barrow,0,AR,1547266741,56,-38.31,-60.23,61.67,12.1
Aldan,76,RU,1547266741,83,58.61,125.39,4.57,3.49
Longyearbyen,20,NO,1547265000,50,78.22,15.63,8.6,20.8
